DATE,USALORSGPNOSTSAM
2004-01-01,99.6040061216436
2004-02-01,99.6165794942683
2004-03-01,99.6292500035039
2004-04-01,99.6504472952736
2004-05-01,99.6855675257747
2004-06-01,99.7374189746671
2004-07-01,99.8056909109932
2004-08-01,99.8885717821327
2004-09-01,99.9832161387414
2004-10-01,100.085198920113
2004-11-01,100.188941207349
2004-12-01,100.28766143251
2005-01-01,100.373263890054
2005-02-01,100.438635048668
2005-03-01,100.480965313937
2005-04-01,100.506601235129
2005-05-01,100.525441991364
2005-06-01,100.546664357565
2005-07-01,100.575093018984
2005-08-01,100.613566856482
2005-09-01,100.664937904277
2005-10-01,100.733508261709
2005-11-01,100.821485079446
2005-12-01,100.924365457959
2006-01-01,101.025077483388
2006-02-01,101.102911875171
2006-03-01,101.142820061944
2006-04-01,101.14653846799
2006-05-01,101.124767957076
2006-06-01,101.092125045903
2006-07-01,101.064161460046
2006-08-01,101.053537325535
2006-09-01,101.066131761654
2006-10-01,101.096152663606
2006-11-01,101.133702430286
2006-12-01,101.171298712941
2007-01-01,101.210083648664
2007-02-01,101.255350945339
2007-03-01,101.312224113875
2007-04-01,101.381101455439
2007-05-01,101.459447169399
2007-06-01,101.542941052303
2007-07-01,101.626168880667
2007-08-01,101.702514944262
2007-09-01,101.764290451337
2007-10-01,101.803571553767
2007-11-01,101.814515595508
2007-12-01,101.797485227999
2008-01-01,101.765363148224
2008-02-01,101.731497430896
2008-03-01,101.698926089934
2008-04-01,101.649923975808
2008-05-01,101.555487299408
2008-06-01,101.386177220839
2008-07-01,101.126338878354
2008-08-01,100.771562917201
2008-09-01,100.332570994135
2008-10-01,99.8456351530923
2008-11-01,99.3558944636047
2008-12-01,98.9045618719023
2009-01-01,98.516861888236
2009-02-01,98.2083537556208
2009-03-01,97.986576559176
2009-04-01,97.8469224820251
2009-05-01,97.7816834016656
2009-06-01,97.7830199088364
2009-07-01,97.840506056398
2009-08-01,97.9440591983975
2009-09-01,98.0827442677209
2009-10-01,98.2401511547629
2009-11-01,98.4008033940064
2009-12-01,98.555139534641
2010-01-01,98.7041639632739
2010-02-01,98.8535709944799
2010-03-01,99.0080522154854
2010-04-01,99.1653785072793
2010-05-01,99.3191292151065
2010-06-01,99.4610633312605
2010-07-01,99.5835953719788
2010-08-01,99.6793158653901
2010-09-01,99.7417371858685
2010-10-01,99.7677958020639
2010-11-01,99.7576755958936
2010-12-01,99.7170529438742
2011-01-01,99.6617367124285
2011-02-01,99.609343903743
2011-03-01,99.5719204252164
2011-04-01,99.5482449202451
2011-05-01,99.5330214828399
2011-06-01,99.5248766768169
2011-07-01,99.5335665942874
2011-08-01,99.5724904702833
2011-09-01,99.6498677028267
2011-10-01,99.7575578262681
2011-11-01,99.8797593613815
2011-12-01,99.9993374412434
2012-01-01,100.102969428033
2012-02-01,100.180571340413
2012-03-01,100.225709603875
2012-04-01,100.237712055706
2012-05-01,100.218873131391
2012-06-01,100.173876478947
2012-07-01,100.111281801847
2012-08-01,100.041213803359
2012-09-01,99.9742077386642
2012-10-01,99.9204940754957
2012-11-01,99.8876881107888
2012-12-01,99.8774308135886
2013-01-01,99.8804147468047
2013-02-01,99.8846438313745
2013-03-01,99.8825880997721
2013-04-01,99.8781097392112
2013-05-01,99.879445375273
2013-06-01,99.8922685510603
2013-07-01,99.9122416391602
2013-08-01,99.9295383634509
2013-09-01,99.9327297631107
2013-10-01,99.9127546879707
2013-11-01,99.8663221098762
2013-12-01,99.8008440737838
2014-01-01,99.741108201523
2014-02-01,99.7163412940106
2014-03-01,99.7469113180647
2014-04-01,99.8284829079034
2014-05-01,99.9442659344991
2014-06-01,100.073378222229
2014-07-01,100.196655995231
2014-08-01,100.299417767622
2014-09-01,100.374582124763
2014-10-01,100.427159037806
2014-11-01,100.466623368017
2014-12-01,100.500822095479
2015-01-01,100.530773972796
2015-02-01,100.553103837401
2015-03-01,100.562729751988
2015-04-01,100.556046448662
2015-05-01,100.530451825394
2015-06-01,100.485008081835
2015-07-01,100.422421629525
2015-08-01,100.347366125906
2015-09-01,100.266025273597
2015-10-01,100.18652406101
2015-11-01,100.116315060657
2015-12-01,100.059456155599
2016-01-01,100.01323827696
2016-02-01,99.9726329593389
2016-03-01,99.9339378703548
2016-04-01,99.8979922059899
2016-05-01,99.8676317772651
2016-06-01,99.8449546632229
2016-07-01,99.8281925055512
2016-08-01,99.8139508397512
2016-09-01,99.7990047784582
2016-10-01,99.7818981519105
2016-11-01,99.7625933132601
2016-12-01,99.7422719473474
2017-01-01,99.7232911686565
2017-02-01,99.70876867715
2017-03-01,99.7020762710458
2017-04-01,99.7060202570068
2017-05-01,99.7232435275479
2017-06-01,99.7558675847751
2017-07-01,99.8041853638084
2017-08-01,99.8674580709685
2017-09-01,99.9435821618225
2017-10-01,100.027679698401
2017-11-01,100.114243296545
2017-12-01,100.198710628724
2018-01-01,100.278868352784
2018-02-01,100.353063820964
2018-03-01,100.418737173163
2018-04-01,100.471399471172
2018-05-01,100.505777828902
2018-06-01,100.517924678967
2018-07-01,100.508665941773
2018-08-01,100.481791771018
2018-09-01,100.443827466314
2018-10-01,100.405120439807
2018-11-01,100.376681099008
2018-12-01,100.367169972347
2019-01-01,100.379235008205
2019-02-01,100.412017386871
2019-03-01,100.462150200687
2019-04-01,100.523317341434
2019-05-01,100.588573580359
2019-06-01,100.651925114327
2019-07-01,100.709671687899
2019-08-01,100.759918631306
2019-09-01,100.802542888857
2019-10-01,100.839748520145
2019-11-01,100.87298698749
2019-12-01,100.900324054468
